"row","category","component","cost","cost_basis","purchase_date","purchase_status","notes"
"14","Electrical","AC DIN panel bus/accessory kit","6.49","purchase_record","2026-05-16","Purchased","Purchased 2026-05-16 from Amazon: Bonsicoky 2-pack brass terminal bus bars for AC enclosure grounding/termination support. Current single-enclosure AC plan requires AC-in neutral and AC-out neutral to remain isolated; common PE/ground bus is acceptable. Cable glands are already tracked in row 44; ferrule crimper/kit is tracked in row 41."
"15","Electrical","GFCI outlet(s)","24.99","purchase_record","2026-05-16","Purchased","Purchased 2026-05-16 from Amazon: ELEGRP 20A self-test GFCI receptacle, tamper-resistant, UL listed, matte black, 2-pack. Current AC-out plan uses one GFCI receptacle on each active 20A branch; downstream standard receptacles are removed from active scope unless layout later reopens them."
"16","Electrical","Cyrico 12-circuit fuse panel","16.99","item_subtotal","2026-02-24","Purchased","Purchased 2026-02-24 from Amazon: Cyrico 12-circuit 12V/24V fuse block with LED indicators and integrated negative bus, $16.99 item subtotal; ASIN B0C6Z49434. Retained as backup/prototype stock because the installed camper uses the Blue Sea panel in row 167."
"17","Electrical","Separate 12V negative busbar","","unknown","","Retired","Not required in the locked 12V fuse-panel topology; the panel's integrated negative bus is the shared return point."
"18","Electrical","Sterling BB1248120 alternator charger","806.65","purchase_record","2026-02-24","Returned","Purchased 2026-02-24 from Amazon: Sterling Power 12V/24V input to 48V output 120A battery-to-battery charger, $806.65, ASIN B0DY9WVQ27. Obsolete/returned after migration to dedicated 48V secondary alternator architecture. Not part of active fuse planning, board layout, or commissioning."
"19","Electrical","Pre-charge resistor lead (MultiPlus inrush control)","7.49","purchase_record","2026-02-24","Purchased","LM YN 50W aluminum-shell wirewound resistor pack (Amazon): 100 ohm, 5%, 2-pack. Use one resistor in the pre-charge lead with insulated alligator clips across the 48V main disconnect studs before closing the switch."
"20","Electrical","Victron Orion-Tr Smart 48/12-30 DC-DC converter","243.95","purchase_record","2026-02-23","Purchased","Purchased Victron Orion-Tr Smart isolated 48/12-30 DC-DC converter with Bluetooth, rated 30A / 360W on the 12V output. The installed input now uses Lynx Slot 4 with one verified 40A MEGA and no standalone input holder."
"21","Electrical","12V buffer battery","119.99","purchase_record","2026-02-24","Purchased","Purchased 2026-02-24 from Amazon: 12V 100Ah LiFePO4 Group 31 battery, $119.99, ASIN B0FPFSJT8P. 12V buffer battery for shared 12V bus support."
"22","Electrical","Victron Cerbo GX MK2","242.10","item_subtotal","2026-02-25","Purchased","Purchased 2026-02-25 from Amazon: Victron Cerbo GX MK2, $242.10 item subtotal; ASIN B0D6LVZWGX. Power from a small fused 48V system-side feed and connect VE.Bus to the MultiPlus. The KUS sender uses one native resistive tank-input column; no GX Tank 140 is required. Verify the original tank terminal block is present; replacement reference is Phoenix Contact 1790124."
"23","Electrical","Victron SmartShunt battery monitor","70.24","purchase_record","2026-02-25","Purchased","Purchased 2026-02-25 from Amazon: Victron SmartShunt 300A / 6.5V-70V, $70.24, ASIN B0DJ2P2XN5."
"24","Electrical","Solar Panels","700.00","owner_estimate","","Deferred","Flexible-first solar path under 75 lb roof cap. Final panel model/string not locked yet; prior 9x100W concept retained as planning placeholder only."
"25","Electrical","Victron SmartSolar MPPT 150/45","206.55","purchase_record","2026-02-22","Purchased","Purchased Victron SmartSolar MPPT 150/45 charge controller. Final PV fuse count, panel stringing, and roof-entry hardware remain deferred until the solar-panel selection is locked."
"26","Electrical","Sterling BBR alternator-charger remote","108.80","purchase_record","2026-02-24","Returned","Purchased 2026-02-24 from Amazon: Sterling Power battery-to-battery charger optional remote, $108.80, ASIN B0DYBKJ2FS. Obsolete/returned with pre-Mechman alternator charger path."
"27","Electrical","Starlink DC power supply","65.00","owner_estimate","","Planned","Owner estimate for a 12V-fed Starlink DC conversion supply. Exact model, connector standard, fuse, conductor size, and installation location remain unselected."
"28","Hardware","2/0 AWG red/black welding cable","342.77","purchase_record","2026-02-23","Purchased","TEMCo 2/0 AWG welding-cable purchases include at least 35 ft red + 35 ft black in row history, with owner-confirmed accidental surplus on hand as of 2026-05-17. Current 2/0 stock is sufficient for battery/MultiPlus/core runs and the dedicated 48V alternator path unless final field routing proves otherwise; no Big 3-specific cable purchase is assumed."
"29","Hardware","6 AWG red/black cable set","37.99","purchase_record","2026-02-24","Purchased","Purchased 2026-02-24 from Amazon: iGreely 6 AWG red/black welding/battery wire set, 10 ft each plus lugs, $37.99, ASIN B0CFHFGHNX. Active 6 AWG circuit needs still require final route check."
"30","Hardware","4 AWG red/black cable set","26.99","purchase_record","2026-02-24","Purchased","Purchased 2026-02-24 from Amazon: Shirbly 4 AWG pure-copper welding/battery cable set, 5 ft red + 5 ft black, $26.99, ASIN B0CDLKZ4R1. Used/available for 12V buffer battery path or contingency."
"31","Hardware","10 AWG PV cable","31.00","owner_estimate","","Deferred","Deferred with the solar-panel selection. Current planning basis is 36 ft route total, or approximately 72 conductor-ft single-wire equivalent, from an assumed C-27 route; reconcile this against the older 30 ft concept and physical routing before purchase."
"32","Hardware","14 AWG duplex marine wire","29.91","purchase_record","2026-02-24","Purchased","Purchased 2026-02-24 from Amazon: 14 AWG duplex marine-grade tinned copper cable, 50 ft, $29.91, ASIN B0B6HVSM9S. Active small-branch layout still route-dependent but stock is on hand."
"33","Hardware","18/2 tinned duplex signal/control cable","14.00","owner_estimate","","Planned","Small-wire inventory baseline for low-current controls and sensors. The KUS-to-Cerbo tank-sender run requires one continuous two-conductor 18-22 AWG route from the sender pigtail to one Cerbo Tank-input column; 18/2 tinned duplex is preferred. Cerbo-end ferrules are covered by purchased row 41. Verify on-hand length plus two sealed heat-shrink pigtail splices; neither the cable nor splices are confirmed purchased in the current BOM."
"34","Hardware","2/0 AWG x M10 / 3/8 in lugs","25.99","purchase_record","2026-02-24","Purchased","Purchased 2026-02-24 from Amazon: RED WOLF 2/0 AWG 3/8 in battery cable lugs, 20 pieces with heat shrink, $25.99, ASIN B0DWRV5ZLM."
"35","Hardware","2/0 AWG x M8 / 5/16 in lugs (10 pack)","13.93","item_subtotal","2026-02-24","Purchased","Purchased 2026-02-24 from Amazon: TKDMR 2/0 AWG x M8 / 5/16 in battery-lug set with heat shrink, 10 pack, $13.93 item subtotal; ASIN B08R6VFF6B. July repeat stock is row 328."
"36","Hardware","6 AWG x M8 / 5/16 in lugs","6.79","purchase_record","2026-02-24","Purchased","Purchased 2026-02-24 from Amazon: XHF 6 AWG 5/16 in heavy-duty battery lugs with heat shrink, 10 pieces, $6.79, ASIN B0D1CHTVWR."
"37","Hardware","4 AWG copper lugs, M8 / 5/16 in (10 pack)","8.99","purchase_record","2026-07-18","Purchased","Purchased 2026-02-24 from Amazon: Sanuke 4 AWG copper lugs with heat-shrink, M8 / 5/16 in, 10 pack; ASIN B092ZM6XY3. Keep stud sizes physically separated and verify crimp and pull strength."
"38","Hardware","Adhesive-lined heat-shrink tubing","12.00","purchase_record","2026-02-20","Included","Adhesive-lined red/black heat-shrink stock for large-gauge cable terminations; exact package and quantity are not captured."
"39","Hardware","Wire ferrules (6 AWG)","4.00","purchase_record","2026-02-20","Included","Allocated stock of 6 AWG ferrules for fine-strand terminations that explicitly accept ferrules. Verify terminal geometry and crimp pull strength before use."
"40","Hardware","Wire ferrules (4 AWG)","4.00","purchase_record","2026-02-20","Included","Allocated stock of 4 AWG ferrules for fine-strand terminations that explicitly accept ferrules. Verify terminal geometry and crimp pull strength before use."
"41","Hardware","Ferrule crimper and ferrule kit (AWG 23-10)","27.99","purchase_record","2026-05-16","Purchased","Purchased 2026-05-16 from Amazon: Preciva ferrule crimping tool kit with 1900 pieces insulated wire ferrules, hexagonal AWG23-10 ratchet crimper. Use for fine-strand AC terminations where device terminals accept ferrules; verify terminal compatibility before crimping."
"42","Hardware","Split loom","9.99","purchase_record","2026-01-22","Purchased","Purchased 2026-01-22 from Amazon: Alex Tech 25 ft x 1/4 in black split wire loom tubing, $9.99, ASIN B07TDGMDW4. Larger loom/grommet sizes may still be fit-up items."
"43","Hardware","Rubber grommets","10.00","owner_estimate","","Planned","Planned wire-penetration protection. Lock sizes only after cable routes and hole diameters are measured."
"44","Hardware","Strain relief/cable glands","12.99","purchase_record","2026-02-24","Purchased","Purchased 2026-02-24 from Amazon: LISTENJIALE 50-piece adjustable waterproof cable gland assortment PG7-PG19, $12.99, ASIN B09Z24H77M."
"45","Hardware","P-clamps","14.59","purchase_record","2026-01-22","Purchased","Purchased 2026-01-22 from Amazon: ISPINNER 52-piece stainless/rubber cushion cable clamp assortment, $14.59, ASIN B07V2YBDS5."
"46","Hardware","1/4-20 stainless nylock nuts","9.99","item_subtotal","2026-07-12","Purchased","Purchased from Amazon by 2026-05-31: 1/4-20 stainless nylock-nut stock, $9.99 item subtotal. Split by hardware class and screw length; confirm installed thread engagement and material compatibility."
"47","Hardware","Wood/fixture T-nut assortment","11.99","purchase_record","2026-05-31","Purchased","Purchased 2026-05-31 from Amazon: 100-pack 4-prong tee nut assortment, $11.99, ASIN B07R7Q41FB. Use for plywood/fixture/prototype mounting only; this is not 80/20 slide-in T-slot hardware."
"48","Hardware","Adhesive cable mounts","6.99","purchase_record","2026-01-22","Purchased","Purchased 2026-01-22 from Amazon: XHF 100-piece 3/4 in black self-adhesive cable zip-tie mounts, $6.99, ASIN B07M69LK65."
"49","Hardware","UV-resistant zip ties (assorted 400 pack)","6.99","item_subtotal","2026-06-17","Purchased","Purchased 2026-01-22 from Amazon: ANOSON assorted black UV-resistant zip ties, 400 pack, $6.99 item subtotal."
"50","Hardware","1/4 in rubber spacer washers for 80/20 panels","9.99","item_subtotal","2026-06-03","Purchased","Purchased 2026-06-03 from Amazon: Thick Rubber Washers, 3/4 in OD x 1/4 in ID x 1/4 in thickness, black rubber bushing spacer flat washers, 25 pack. Gmail verifies a $9.99 item subtotal and $10.71 checkout total. Use as 1/4 in panel standoffs/anti-rattle spacers behind 1/2 in plywood inset/front panels on 10-series 80/20 to create an effective 3/4 in stack and 1/4 in visual reveal; not for countertops, shelving load paths, or structural panel retention by itself."
"51","Hardware","Grounding antioxidant compound","12.00","owner_estimate","","Planned","Planning allowance for Noalox or an equivalent antioxidant compound at compatible aluminum/copper grounding interfaces. Confirm material compatibility before application."
"52","Tools","Nelko P21 label maker","17.09","item_subtotal","2026-06-24","Purchased","Purchased 2026-01-22 from Amazon: Nelko P21 Bluetooth label maker with starter tape, $17.09 item subtotal."
"53","Tools","Hydraulic lug crimper (8-2/0)","39.99","purchase_record","2026-02-24","Purchased","Purchased 2026-02-24 from Amazon: Brileine 10-ton hydraulic crimping tool with 9 dies, $39.99, ASIN B0CQD4MSSG."
"54","Tools","10 in sliding miter saw (corded)","200.00","purchase_record","2026-03-18","Purchased","Ryobi 10 in sliding miter saw (corded), purchased at Harbor Freight/retail tooling wave period for fabrication workflow support."
"55","Tools","Random orbital sander (5 in)","25.00","purchase_record","2026-03-18","Purchased","5 in random orbital sander purchased in Harbor Freight tooling wave."
"56","Tools","Domino/biscuit joiner","","unknown","","Planned","Optional woodworking joiner; exact model and need are not yet selected."
"57","Tools","Digital level","30.37","purchase_record","2026-02-24","Purchased","Purchased 2026-02-24 from Amazon: MOTORHEAD 10-inch digital level, $30.37, ASIN B07SGWQ5C3."
"58","Tools","PEX expansion tool","","unknown","","Retired","Not required for the current PEX-B cinch-clamp system; retained as a retired planning line."
"59","Tools","Step drill bits (3 pc)","20.00","purchase_record","2026-03-18","Purchased","3-piece step drill bit set purchased in Harbor Freight tooling wave."
"60","Tools","Ratchet cable cutter","9.99","purchase_record","2026-02-24","Purchased","Purchased 2026-02-24 from Amazon: YUZES 9.5 in cable cutter for up to 2/0 copper/aluminum, $9.99, ASIN B0FG7MZ5ZJ."
"61","Appliances","ICECO APL55 refrigerator/freezer","767.19","item_subtotal","2026-03-26","Purchased","Purchased 2026-03-26 from Amazon: ICECO APL55 dual-zone portable refrigerator/freezer, $767.19 item subtotal, ASIN B0BZV3787T. Prior note referenced a tax-included paid total; Amazon CSV only verifies the item-level subtotal."
"62","Appliances","LF Bros 5kW diesel heater","349.99","purchase_record","2026-02-25","Purchased","Purchased LF Bros 5kW 10L Split Pro 12V diesel-heater kit with T4S controller, remote, 10L tank, metering pump/filter, fuel line, intake, exhaust, harness, and mounting hardware. Preserve controller-commanded cooldown. Final install requires a sealed metal floor turret, protected exhaust/intake routing, and an exterior or sealed/vented fuel-tank and pump arrangement; follow the physical turret after underbody inspection."
"63","Appliances","Heater warm-air T fitting candidate","10.00","owner_estimate","","Planned","ZTUOAUMA 60mm T-piece candidate. HOLD until the actual LF Bros Split Pro warm-air outlet/duct is measured. Do not reduce a larger 5kW outlet to 60mm or add a restrictive T/closed branch without confirming diameter, minimum open area, bend radius, and fan/backpressure behavior."
"64","Appliances","CO/propane alarm","47.00","owner_estimate","","Planned","Install and function-test a listed CO alarm before the first in-camper diesel-heater burn. Propane is locked into the exterior rear-box HOTTAP package, so install and function-test listed LP detection before the first propane burn; also verify the smoke alarm and accessible extinguisher."
"65","Appliances","Larger exterior diesel tank","95.00","owner_estimate","","Deferred","Future larger exterior reserve concept only. The purchased LF Bros kit in row 62 already includes a 10L tank sufficient for installation/commissioning. Do not place either tank loose/open in the battery/electrical/living bay; any permanent tank requires exterior mounting or sealed externally vented spill containment, secure restraint, serviceable fill/vent, and protected fuel pickup."
"66","Appliances","Diesel heater metering pump","0.00","included","2026-02-25","Included","Supplied with purchased LF Bros Split Pro kit in row 62; no separate pump purchase is required. Install externally in rubber isolation, downstream of filter, outlet toward heater and approximately 45 degrees upward, within 2m of heater. Pump is controlled by heater harness/ECU and gets no separate manual switch."
"67","Appliances","Duxtop 1800W portable induction cooktop","60.34","purchase_record","2026-06-26","Purchased","Purchased 2026-06-26 owner-provided listing: Duxtop 1800W Portable Induction Cooktop Countertop Burner, Gold 8100MC/BT-180G3, $60.34. Replaces the generic single-induction cooktop placeholder; use as a removable/stowable 120V countertop burner and sequence against the Ninja SP151 and other high-draw AC loads."
"68","Appliances","Ninja SP151 air-fryer toaster oven","149.95","item_subtotal","2026-06-24","Purchased","Purchased 2026-06-24 from Amazon: Ninja SP151 8-in-1 flip-up 1800W air-fryer toaster oven, $149.95 item subtotal. Use as a removable countertop appliance; replaces the compact-microwave placeholder."
"69","Hardware","Joolca Quick-Release HOTTAP Bracket","95.00","item_subtotal","2026-07-26","Purchased","Owner-confirmed purchase 2026-07-26: one Quick-Release HOTTAP Bracket, $95.00 item subtotal. This is the mounting hardware previously documented as the vehicle quick plate. Through-bolt it to proven structural backing; receipt, compatibility, road-load clearance, and operating-clearance checks remain open."
"70","Appliances","Flame King 10 lb aluminum propane cylinder","185.86","item_subtotal","2026-07-26","Purchased","Owner-confirmed purchase 2026-07-26: one Flame King YSN10LB-ALM 10 lb aluminum OPD/QCC1 cylinder, $185.86 item subtotal; ASIN B0DRRP9F8G. Listed size is 9 x 9 x 19.25 in and about 19.6 lb filled. Receipt, shelf/valve/regulator-sweep dry fit, structural restraint, ventilation, and removal-path checks remain open. Travel upright, valve closed, and LP disconnected."
"71","Appliances","CALPOSE QCC1 propane pressure gauge","10.99","item_subtotal","2026-07-26","Purchased","Owner-confirmed purchase 2026-07-26: one CALPOSE three-color QCC1/Type-1 pressure gauge for 5-40 lb cylinders, $10.99 item subtotal. Part of the propane shower setup."
"72","Appliances","Joolca HOTTAP V2 Essentials water heater","399.00","item_subtotal","2026-07-26","Purchased","Owner-confirmed purchase 2026-07-26: one HOTTAP V2 Essentials, $399.00 item subtotal. Current US product page on 2026-07-26 states 27,000 BTU and up to 1.6 GPM; the earlier planning record carried 35,000 BTU, so verify the received data label before locking the burner rating. Current manual lists a 1.2 m LPG hose and separate 1 m/4 m QuickConnect water hoses. Mount outside the rear box on row 69 bracket under row 255 cover; receipt and installed-clearance checks remain open."
"73","Plumbing","36 gal wheel-well fresh-water tank","","unknown","","Purchased","Owner-confirmed purchased/in hand before 2026-05-01; exact vendor, model, purchase price, and date are not captured. Owner reports four molded ports on each end (two visibly large/two smaller) and no obvious/open top port; exact threads remain unverified. Inspect for a membrane-covered top boss, then verify the KUS sender location, upper-end gravity-fill/vent, low north pump outlet, low tank drain, and restraint with a workbench mockup plus one bare in-truck dry fit before drilling."
"74","Plumbing","SHURflo 4008 3.0 GPM water pump","69.75","item_subtotal","2026-04-07","Purchased","Purchased 2026-04-07 from Amazon: SHURflo 4008-101-A65 3.0 GPM pump, $69.75 item subtotal; ASIN B010TKMCEM. Final mounting remains gated on service access, vibration isolation, and a drained leak path away from electrical equipment."
"75","Plumbing","Camco EvoFlex2 drinking-water hose (50 ft)","31.26","item_subtotal","2026-04-07","Purchased","Purchased 2026-04-07 from Amazon: Camco EvoFlex2 50 ft drinking-water hose, $31.26 item subtotal; ASIN B09Z6VPFWD."
"76","Plumbing","Inline drinking-water hose filter","24.99","purchase_record","2026-04-07","Purchased","Purchased 2026-04-07 from Amazon: Lifefilter RV inline water filter with flexible hose protector, $24.99, ASIN B0933CLY8H."
"77","Plumbing","Cabinet-mounted water filter","","unknown","","Planned","Optional secondary cabinet filter. Reassess after the inline hose filter and cold-water system pass bench testing."
"78","Plumbing","IZTOR gravity water-inlet hatch","21.47","item_subtotal","2026-04-07","Purchased","Purchased 2026-04-07 from Amazon: IZTOR gravity water-inlet hatch, $21.47 item subtotal; ASIN B0B496W3BB. Tank-side fill and vent elbows are tracked separately in rows 219 and 220."
"79","Appliances","Starlink Standard terminal","349.00","owner_estimate","","Planned","Owner estimate for one Starlink Standard terminal. Final purchase waits for service-plan, stowage, exterior-view, cable-entry, and 12V DC-conversion decisions."
"80","Plumbing","1/2 in PEX-B tubing and installation kit","97.50","item_subtotal","2026-04-07","Purchased","Purchased 2026-04-07 from Amazon: EFIELD 1/2 in PEX-B kit with 100 ft red, 100 ft blue, brass fittings, and cinch clamps, $97.50 item subtotal; ASIN B0CL9J7FBN. Tank adapters are row 218. The accumulator-supplied white fittings are hose-barb swivels, not PEX crimp fittings; use the RecPro braided hose on the pump side and row 233 swivel PEX adapter on the outlet."
"81","Plumbing","PEX ball valve set","16.99","purchase_record","2026-04-07","Purchased","Purchased 2026-04-07 from Amazon: Hooshing 4-piece 1/2 in PEX brass full-port ball valve set, $16.99, ASIN B0CNP58ZJ8."
"82","Plumbing","Generic water quick-connect allowance","0.00","not_applicable","","Retired","Replaced by the direct-profile real-hose prototype in row 231. The rejected Sea-Dog plus travel-exposed plastic Melnor 2MQC stack is not the lead wall interface, and QD3 is premium fallback only. Do not drill before actual Joolca fit, valve routine, hot-flow, drain, cap, and panel/backer checks pass."
"83","Plumbing","Separate freshwater check valve","0.00","not_applicable","","Retired","No separate freshwater check-valve purchase is required. The installed SHURflo 4008 pump provides reverse-flow prevention; the accumulator smooths pressure but is not a check valve. Winterization uses the heater/tank drains and a regulated pressure-side blowout point if needed, not back-blowing through the pump."
"84","Plumbing","RecPro 30 in braided potable-water hose","14.95","item_subtotal","2026-04-07","Purchased","Purchased 2026-04-07 from Amazon: one of two RecPro 30 in braided PVC RV water hoses at $14.95 each; ASIN B0CKBYYQQW. Allocate this hose to the pump-side accumulator connection after the full mockup passes."
"85","Plumbing","Propane quick-disconnect","0.00","not_applicable","","Retired","Final HOTTAP architecture uses the supplied four-foot QCC1 regulator/hose connected directly from the upright 10 lb cylinder to the exterior-mounted heater only while parked. Route it through a smooth protected service hatch clear of sharp edges, exhaust, and the box door. No separate LP quick-disconnect or permanent box LP line is in active scope. Travel with the cylinder valve closed and the regulator/hose disconnected."
"87","Interior","Cabinetry allowance","4000.00","owner_estimate","","Planned","Planning allowance for permanent cabinetry only. Desk, chair, plumbing, appliances, and finish materials are tracked separately."
"88","Interior","Wall and cabinet insulation","","unknown","","Planned","Candidate wall/cabinet insulation using 3M Thinsulate or Havelock wool; final assembly and vapor-control approach remain open."
"89","Interior","TNUTZ EX-1010 extrusion, 94 in (23 sticks)","573.62","item_subtotal","2026-06-05","Purchased","Purchased 2026-06-05 from TNUTZ: 23 regular four-slot EX-1010 1 x 1 x 94 in sticks, 180.17 ft total, $573.62 item subtotal. Final cut geometry remains field-measured."
"90","Interior","Generic corner-bracket allowance","0.00","not_applicable","","Retired","Replaced by row 89 TNUTZ/10-series order: 8x 4-hole inside corner gussets, 20x 3-hole slotted inside corner brackets, 4x hidden 45 connector assemblies, and 25x blank end fastener assemblies. Keep future bracket adds tied to measured joints only."
"91","Interior","Generic corner-bracket adapter allowance","0.00","not_applicable","","Retired","Replaced by row 89 TNUTZ/10-series order. The current purchased package is 10-series/1/4-20 focused; no generic 10s-to-15s adapter purchase is assumed unless a measured heavy module later requires it."
"92","Interior","Generic corner-gusset allowance","0.00","not_applicable","","Retired","Replaced by row 89 TNUTZ/10-series order, including 8x 4-hole inside corner gussets and 20x 3-hole slotted inside corner brackets."
"93","Interior","Generic flat-bracket allowance","0.00","not_applicable","","Retired","Replaced by row 89 TNUTZ/10-series purchased hardware package for current 10-series mockup/build needs; add measured seam/plate hardware later only if real joints require it."
"94","Interior","Generic 90-degree flat-bracket allowance","0.00","not_applicable","","Retired","Replaced by row 89 TNUTZ/10-series purchased hardware package for current 10-series mockup/build needs; add measured seam/plate hardware later only if real joints require it."
"95","Interior","Thermal-break spacers and shims","","unknown","","Planned","Thermal-break and fit-up spacers in approximately 1/8 in and 1/2 in thicknesses; material and final hole sizes remain field-selected."
"96","Interior","3M heavy-duty double-sided mounting tape","20.99","item_subtotal","2026-07-18","Purchased","Purchased 2026-07-18 from Amazon: 3M heavy-duty removable double-sided foam mounting tape, 2 in x 10 ft, $20.99 item subtotal, ASIN B0FPQ29CX1. Use as fit-specific anti-rattle/finish assistance only after surface-prep and material-compatibility testing; do not treat adhesive tape as the sole structural retention for camper panels, road-load items, or service-critical components."
"97","Interior","Extrusion-groove panel anti-rattle foam","","unknown","","Deferred","Deferred under the current mechanically fastened overlay-panel baseline. Reopen only if a measured inset panel remains and row 96 mounting tape fails material, thickness, or groove-fit testing; then select the exact foam density, thickness, and adhesive."
"98","Interior","WLED/QuinLED interior LED lighting package","200.00","owner_estimate","","Deferred","Deferred 12V QuinLED/WLED allowance for separate upper CCT and lower RGBCCT strips, controller, and local buttons. Exact SKUs, channels, wiring, and mounting remain unlocked; this does not replace the Hiatus factory lighting."
"99","Interior","ARES WING dual heavy-duty monitor arm","179.99","item_subtotal","2026-06-05","Purchased","Purchased 2026-06-05 from Amazon: ARES WING heavy-duty gas-spring dual monitor mount for two ultrawide screens up to 57 in, USB-A/C charging ports, VESA 75/100/200 mm, black; $179.99 item subtotal. Parked-use hardware only unless the AW3423DWF gets a padded travel cradle/dock that unloads the arm and positively restrains the display during driving."
"100","Interior","Tervo Model U folding chair","160.00","owner_estimate","","Planned","Owner-selected compact folding office-chair candidate for the workstation. Purchase waits for a physical seated-ergonomics, aisle-clearance, stowage, and road-restraint mockup."
"101","Interior","Camper sound-system allowance","0.00","not_applicable","","Retired","Replaced by dedicated camper audio rows 189-193: Kicker KMC2 source unit, CSC67 speaker pair, PTRTP10 powered sub, 4 AWG fused sub power kit, RCA/speaker wire and install consumables."
"102","Electrical","Solar-panel mounting hardware","55.00","owner_estimate","","Deferred","Solar mount stack-up placeholder pending final flexible panel selection and mounting method validation."
"103","Electrical","370A 12V alternator upgrade","599.00","planning_estimate","","Retired","Mechman 370A alternator for Ford truck 7.3L (SKU 11532370) single-12V upgrade path. Superseded by decision assumption to migrate to dedicated 48V secondary alternator architecture."
"104","Hardware","Big Three wiring upgrade","225.00","planning_estimate","","Retired","Legacy wiring-only estimate tied to 12V high-output alternator path. Superseded by dedicated 48V secondary alternator migration assumption."
"105","Electrical","Spare fuse top-off kit (non-Lynx)","6.99","purchase_record","2026-03-03","Purchased","BOJACK 100A 32VDC ANL blade fuse pack (3-count) reserved as F-11 spare set x3. Installed F-11 hardware is tracked separately in row 125."
"106","Electrical","PV string fuses and combiner holder (3S3P)","65.00","planning_estimate","","Deferred","Deferred solar allowance for three active 15A gPV string fuses, three matching spares, and a listed holder/combiner near the roof entry. Final quantity and rating wait for panel/string lock."
"107","Electrical","Shore power inlet","22.99","purchase_record","2026-05-16","Purchased","Purchased 2026-05-16 from Amazon: Nilight 30A 125V twist-lock shore power inlet, NEMA L5-30P, ETL listed, enclosed lockable flanged male inlet box with cover. Use with butyl bedding row 180 and Sikaflex perimeter/finish seal row 179."
"108","Electrical","Camco 30A RV shore cord (25 ft)","54.99","item_subtotal","2026-05-16","Purchased","Purchased 2026-05-16 from Amazon: Camco 55524 25 ft 30A RV cord, TT-30P to L5-30R, $54.99 item subtotal; ASIN B01N6T0ST0."
